State,Governor,Party,State Senate Democrats,State Senate Republicans,State Senate Majority,State Senate Majority %,State House Democrats,State House Republicans,State House Majority,State House Majority %,Party Control,Median Income,State GDP (2022) (in millions),Gini Coefficient 2019,Gini Coefficient 2015-2019,Population (2022),Life Expectancy 2019,Life Expectancy 2019 Male,Life Expectancy 2019 Female,Sick Leave Policy,"Number of Doctors per 100,000 resident population",Total Education Funding (in thousands),Population over the age of 25,With a High School Diploma or higher,With a Bachelor's Degree or higher,With an Advanced Degree,Number in Poverty,Poverty Rate (%),Incarcerated Total,Incarceration Rate,Total Violent Crimes (2020),"Total Violent Crimes Occurred per 100,000",Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,ACS vintage (suggested metrics),Uninsured population ACS (count),Uninsured rate ACS (% of pop in B27001 universe),Rent burden 30%+ ACS (% renter HH),Rent burden 50%+ ACS (% renter HH),Child poverty rate ACS (% under 18),SNAP household rate ACS (% HH),Broadband household rate ACS (% HH),No internet access ACS (% HH),Medicaid expansion adopted (Y/N)
New_Hampshire,Chris Sununu,Republican,10,14,Republican,58%,197,198,Republican,50%,Republican,99031,"105,414",0.4440,0.4440,1394868,78.5,76.1,81.1,New Hampshire does not require paid sick leave.[8],313.64,"$3,645,710","1,019,229","962,216","414,276","164,581",98248,7.25,"2,337",0.17%,1536,110.1,100.714286,53.7142857,40.7142857,88.40%,11.18%,0.41%,0.00%,0.00%,0.00%,2024 ACS 5-year,72559,5.26,45.65,21.00,7.88,6.07,92.92,4.83,Y
New_Jersey,Phil Murphy,Democrat,25,15,Democrat,63%,52,28,Democrat,65%,Democrat,103556,"745,422",0.4784,0.4784,9343809,79.0,76.3,81.6,"All companies are required to give up to 40 hours of paid sick leave per year for both full- and part-time employees, except per diem healthcare employees and unionized construction workers. Eligible employees earn one hour of paid sick leave for every 30 hours worked and can use it after 120 days after being hired. Unused time can be carried over. Local governments are preempted from creating their own requirements.[8][9]",317.42,"$35,364,305","6,523,202","5,915,947","2,845,933","1,144,903",891891,9.72,"13,457",0.14%,20341,217.7,190.266667,62.0666667,41.3333333,78.85%,17.69%,1.60%,1.67%,0.19%,0.00%,2024 ACS 5-year,692661,7.49,49.06,25.54,12.98,9.15,92.80,5.39,Y
New_Mexico,Michelle Lujan Grisham,Democrat,27,15,Democrat,64%,45,25,Democrat,64%,Democrat,64059,"122,115",0.4772,0.4772,2120246,73.0,69.4,77.0,"Workers earn one hour of paid sick leave for every 30 hours worked and can use up to 64 hours per year, with unused hours being carried over.[8]",239.67,"$4,494,119","1,461,438","1,286,568","452,729","203,523",370915,17.84,"7,103",0.34%,15204,717.1,121.363636,66.7272727,43.3636364,67.59%,30.65%,1.32%,0.39%,0.05%,0.00%,2024 ACS 5-year,200435,9.62,44.95,23.46,24.04,19.22,86.54,10.07,Y
New_York,Kathy Hochul,Democrat,42,21,Democrat,67%,102,48,Democrat,68%,Democrat,85974,"2,053,180",0.5167,0.5167,19852366,79.0,76.3,81.6,Companies with 5 or more employees or a net income of more than $1M must provide paid sick leave. Both part- and full-time employees earn one hour off for every 30 hours worked and can use up to 40 hours a year. Employees of companies with more than 100 employees are entitled to 56 hours per year. Government employees are not covered. Unused hours can be carried over. Cities with a population of over one million can create more expansive requirements and both Westchester County and New York City have done so.[8],369.76,"$78,407,641","14,017,184","12,332,714","5,638,631","2,504,799",2711742,14.01,"49,626",0.25%,75479,380.2,164.481481,57.8148148,37.3333333,83.90%,13.93%,1.28%,0.80%,0.09%,0.00%,2024 ACS 5-year,993274,5.05,49.16,26.93,18.32,15.59,90.85,6.78,Y
North_Carolina,Roy Cooper,Democrat,20,30,Republican,60%,48,72,Republican,60%,Mixed,72388,"730,072",0.4774,0.4774,10730404,74.9,72.0,77.9,North Carolina does not require paid sick leave and preempts local government from requiring it.[8][9],257.87,"$16,070,731","7,380,330","6,653,293","2,631,218","994,750",1360882,13.03,"51,351",0.48%,40325,375.8,112.794118,61.4117647,41.8823529,78.71%,20.48%,0.79%,0.01%,0.00%,0.00%,2024 ACS 5-year,1036452,9.85,44.71,21.57,17.70,12.75,90.08,7.46,Y
North_Dakota,Doug Burgum,Republican,4,43,Republican,91%,12,82,Republican,87%,Republican,76657,"73,267",0.4568,0.4568,784841,77.6,75.0,80.5,North Dakota does not require paid sick leave.[8],240.53,"$2,154,231","513,405","482,677","167,849","49,786",81881,10.82,"2,681",0.34%,1996,254.3,251.333333,73.8888889,42.7777778,70.94%,24.73%,3.19%,0.73%,0.42%,0.00%,2024 ACS 5-year,49591,6.47,36.32,17.10,11.14,6.58,88.72,7.02,Y
Ohio,Mike DeWine,Republican,7,26,Republican,79%,32,67,Republican,68%,Republican,71389,"822,670",0.4672,0.4672,11810293,74.5,71.7,77.5,Ohio does not require paid sick leave and preempts local government from requiring it.[8][9],297.29,"$27,560,108","8,162,216","7,495,699","2,570,052","995,451",1529692,13.29,"47,008",0.40%,34687,293.7,159.243243,71.027027,42.5945946,68.75%,28.47%,2.03%,0.67%,0.08%,0.00%,2024 ACS 5-year,746399,6.41,42.44,21.50,17.78,12.45,90.10,7.36,Y
Oklahoma,Kevin Stitt,Republican,8,40,Republican,83%,20,81,Republican,80%,Republican,65039,"240,534",0.4671,0.4671,4028634,72.7,70.0,75.6,Oklahoma does not require paid sick leave and preempts local government from requiring it.[8][9],209.56,"$7,336,346","2,668,805","2,386,427","756,531","263,593",599071,15.34,"26,286",0.65%,17033,422.8,125.7,72.2,45.85,64.23%,33.85%,1.84%,0.08%,0.00%,0.00%,2024 ACS 5-year,507270,12.87,41.67,20.37,20.06,14.07,88.86,8.42,Y
Oregon,Tina Kotek,Democrat,17,11,Democrat,61%,35,25,Democrat,58%,Democrat,83011,"299,125",0.4630,0.4630,4254293,77.4,74.8,80.2,"Companies with 10 or more employees must provide up to 40 hours of paid sick leave per year, which can be used 90 days after being hired. Full-time, part-time, and temporary employees are covered and earn one hour off for every 40 hours worked. Although state law preempts local governments from creating their own requirements, companies with 6 or more employees must provide time off in Portland.[8][9]",296.04,"$9,901,646","3,044,782","2,796,561","1,120,686","430,633",498380,11.94,"12,988",0.31%,14082,331.0,104.047619,47.2380952,25.1428571,88.88%,10.35%,0.48%,0.26%,0.00%,0.02%,2024 ACS 5-year,247724,5.88,49.52,25.27,13.22,16.04,92.40,4.87,Y
Pennsylvania,Josh Shapiro,Democrat,22,28,Republican,56%,102,101,Democrat,50%,Mixed,77971,"923,089",0.4742,0.4742,13018639,76.4,73.6,79.3,"Pennsylvania does not require paid sick leave. In Philadelphia, companies with 10 or more employees must provide up to 40 hours of paid sick leave.[8] Pittsburgh requires companies with 15 or more employees to provide up to 40 hours, while small business employees are only entitled to 24 hours per year.[24]",328.25,"$36,479,872","9,189,697","8,466,554","3,231,367","1,314,336",1475496,11.71,"51,231",0.39%,31974,245.6,193.055556,70.9444444,43.6111111,70.86%,26.04%,1.64%,1.14%,0.30%,0.02%,2024 ACS 5-year,721936,5.63,44.60,23.01,15.60,14.37,89.74,7.92,Y
