State,Governor,Party,State Senate Democrats,State Senate Republicans,State Senate Majority,State Senate Majority %,State House Democrats,State House Republicans,State House Majority,State House Majority %,Party Control,Median Income,State GDP (2022) (in millions),Gini Coefficient 2019,Gini Coefficient 2015-2019,Population (2022),Life Expectancy 2019,Life Expectancy 2019 Male,Life Expectancy 2019 Female,Sick Leave Policy,"Number of Doctors per 100,000 resident population",Total Education Funding (in thousands),Population over the age of 25,With a High School Diploma or higher,With a Bachelor's Degree or higher,With an Advanced Degree,Number in Poverty,Poverty Rate (%),Incarcerated Total,Incarceration Rate,Total Violent Crimes (2020),"Total Violent Crimes Occurred per 100,000",Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days
Pennsylvania,Josh Shapiro,Democrat,22,28,Republican,56%,102,101,Democrat,50%,Mixed,"$68,957","923,089",0.4745,0.472,"12,972,008",78.5,75.9,81.1,"Pennsylvania does not require paid sick leave. In Philadelphia, companies with 10 or more employees must provide up to 40 hours of paid sick leave.[8] Pittsburgh requires companies with 15 or more employees to provide up to 40 hours, while small business employees are only entitled to 24 hours per year.[24]",328.25,"$36,479,872",9785243,8899177,3079360,1264894,"1,480,430",11.95%,"77,900",0.60%,"49,793",389.5,193.055556,70.9444444,43.6111111,70.86%,26.04%,1.64%,1.14%,0.30%,0.02%
Rhode_Island,Dan McKee,Democrat,33,5,Democrat,87%,65,9,Democrat,88%,Democrat,"$63,870","71,402",0.4628,0.4702,"1,093,734",79.8,77.2,82.2,"Companies with more than 18 employees must provide up to 40 hours of paid sick leave to full-time, part-time, and temporary employees. Workers earn one hour off for every 34 hours worked, which can be used after 90 days for full-time employees, 180 days for part-time employees, and 150 days for seasonal employees.[8]",407.47,"$2,767,851",784103,706361,198995,78119,"117,785",11.58%,"2,800",0.26%,"2,440",230.8,128.333333,52.6666667,39,88.09%,9.39%,2.53%,0.00%,0.00%,0.00%
South_Carolina,Henry McMaster,Republican,15,30,Republican,67%,36,88,Republican,71%,Republican,"$50,570","295,880",0.4747,0.474,"5,282,634",76.9,74,79.8,South Carolina does not require paid sick leave and preempts local government from requiring it.[8][9],234.15,"$11,358,062",3628357,3247257,842557,331068,"726,470",14.68%,"30,300",0.57%,"27,691",530.7,105.428571,60.5714286,41.3571429,76.79%,22.69%,0.52%,0.00%,0.00%,0.00%
South_Dakota,Kristi Noem,Republican,4,30,Republican,88%,7,62,Republican,90%,Republican,"$56,521","67,571",0.436,0.444,"909,824",78.5,76.1,81,South Dakota does not require paid sick leave.[8],241.5,"$1,916,182",609012,564902,145596,42347,"108,863",12.81%,"6,100",0.67%,"4,476",501.4,159.9,69.6,37.9,77.73%,18.84%,2.83%,0.55%,0.06%,0.00%
Tennessee,Bill Lee,Republican,6,27,Republican,82%,24,75,Republican,76%,Republican,"$58,516","475,755",0.4749,0.4788,"7,051,339",75.8,73,78.7,Tennessee does not require paid sick leave and preempts local government from requiring it.[8][9],263.69,"$12,088,718",4748651,4235260,1194800,418915,"965,213",14.62%,"49,300",0.70%,"46,328",672.7,108.695652,62.5217391,38.7391304,76.47%,22.40%,1.13%,0.00%,0.00%,0.00%
Texas,Greg Abbott,Republican,12,19,Republican,61%,64,86,Republican,57%,Republican,"$66,963","2,355,960",0.4753,0.4791,"30,029,572",78.8,76.4,81.3,Texas does not require paid sick leave and preempts local government from requiring it.[8][9],228.35,"$69,504,604",19520806,17181321,5918657,1892112,"3,984,260",14.22%,"218,000",0.73%,"131,084",446.5,114.795455,62.7727273,38.8863636,73.76%,24.86%,1.27%,0.09%,0.02%,0.00%
Utah,Spencer Cox,Republican,6,23,Republican,79%,13,61,Republican,82%,Republican,"$60,365","248,176",0.4268,0.4265,"3,380,800",79.9,78.2,81.7,Utah does not require paid sick leave.[8],226.04,"$6,543,845",1921883,1762286,686120,226485,"283,360",9.13%,"12,500",0.37%,"8,471",260.7,124.571429,77,47.5714286,63.62%,33.14%,2.14%,0.99%,0.11%,0.00%
Vermont,Phil Scott,Republican,22,7,Democrat,76%,104,37,Democrat,74%,Mixed,"$67,674","40,617",0.4471,0.4484,"647,064",79.9,77.5,82.5,"Employees who work over 18 hours per week, on average annually, are entitled to up to 40 hours of paid sick leave. Both full- and part-time employees are covered, but it does not apply to seasonal employees, per diem healthcare workers, federal workers, and some state workers. New businesses are exempt for 12 months after hiring their first employee. Employees earn one hour off for every 52 hours worked, which can be used one year after being hired.[8]",382.43,"$2,347,737",482619,455921,184088,77569,"64,700",10.78%,"1,700",0.26%,"1,081",173.4,136,54.3333333,40,85.82%,12.71%,0.92%,0.55%,0.00%,0.00%
Virginia,Glenn Youngkin,Republican,21,19,Democrat,53%,51,49,Democrat,51%,Mixed,"$80,615","649,393",0.469,0.4689,"8,683,619",79.3,77,81.6,Virginia does not require paid sick leave.[8],268.53,"$19,495,664",5921020,5368406,2457844,1020118,"826,708",10.01%,"57,100",0.66%,"17,925",208,131.266667,52.3,34.6333333,85.95%,12.80%,0.77%,0.47%,0.00%,0.00%
Washington,Jay Inslee,Democrat,29,20,Democrat,59%,58,40,Democrat,59%,Democrat,"$70,979","725,514",0.4577,0.4573,"7,785,786",80.2,78.1,82.3,"Employees earn one hour of paid sick leave for every 40 hours worked. There's no maximum number of hours that can be accrued, but only 40 hours can be carried over into the next year. SeaTac, Seattle, and Tacoma have more expansive requirements.[8]",270.7,"$20,652,689",5195639,4750043,2045903,804628,"751,044",10.19%,"30,900",0.40%,"22,596",293.7,75.7586207,41.4827586,24.1034483,92.59%,7.32%,0.10%,0.00%,0.00%,0.00%
West_Virginia,Jim Justice,Republican,3,31,Republican,91%,11,89,Republican,89%,Republican,"$43,469","95,588",0.4644,0.4667,"1,775,156",74.7,72.1,77.4,West Virginia does not require paid sick leave.[8],261.02,"$3,893,773",1372997,1219744,285998,98973,"300,152",17.10%,"10,600",0.60%,"6,352",355.9,151.692308,62.2307692,38.8461538,80.09%,18.57%,0.81%,0.54%,0.00%,0.00%
Wisconsin,Tony Evers,Democrat,11,22,Republican,67%,35,64,Republican,65%,Mixed,"$64,168","401,792",0.4391,0.4448,"5,892,539",79.3,77.1,81.5,Wisconsin does not require paid sick leave and preempts local government from requiring it.[8][9],266.39,"$13,845,975",4148855,3773526,1348701,411929,"620,947",10.97%,"36,700",0.62%,"18,861",323.4,174.655172,93.8275862,44.1034483,64.95%,27.09%,6.34%,1.50%,0.12%,0.00%
Wyoming,Mark Gordon,Republican,2,29,Republican,94%,5,57,Republican,92%,Republican,"$62,268","47,433",0.4345,0.4361,"581,381",78.3,75.7,80.9,Wyoming does not require paid sick leave.[8],196.37,"$1,932,287",428340,398437,92781,31213,"61,006",10.76%,"4,000",0.69%,"1,364",234.2,108.277778,54.5555556,38.1111111,77.83%,21.21%,0.84%,0.09%,0.03%,0.00%
